stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,2.14,0,17.12,0,0,0,0,0,0,0,0,0,2.14,0,4.28,0,0,0,126.24,7.49,1.07,0,0,2.14,0,0,1.07,1.07,0,0,0
21Day,2.68,1.34,1.34,0,1.34,0,0,0,0,0,0,0,4.02,0,2.68,0,4.02,0,0,0,45.51,0,0,0,0,4.02,1.34,2.68,1.34,0,0,0,0
3Month,0,0,6.72,0.32,0,0.32,0.32,0.96,0,5.12,2.24,0.32,0.96,1.28,10.24,0.64,2.88,0.96,0.32,0.32,2.88,1.6,21.76,0.32,0,0,0.64,67.83,1.28,0.64,1.92,94.7,0.64
22Month,0,1.09,3.83,0,0,0,0,2.19,1.09,19.68,1.09,0,0,0,0,1.09,5.47,0,0,0,6.01,0.55,13.67,1.64,3.28,0,0,33.89,3.28,0,0,0,0
