stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,4.09,16.35,4.09,0,0,0,0,4.09,32.69,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,10.7,3.21,2.14,0,0,0,0,23.54,10.7,1.07,0,10.7,0,0,2.14,0,0,0,0,0
21Day,0,0,0,2.68,0,0,4.02,0,1.34,0,0,0,1.34,0,0,5.35,4.02,10.71,0,0,0,0,10.71,8.03,0,0,4.02,2.68,0,1.34,0,1.34,0,0,1.34
3Month,0.64,0.96,0.32,12.8,0.32,0.32,0.32,3.2,28.48,0,18.56,5.76,1.92,5.12,0.64,5.76,32.95,7.04,0.32,0,1.28,2.88,0.64,0.64,0.96,0.32,0.32,1.92,7.68,0.32,0,0.32,1.6,1.6,3.84
22Month,0,2.73,0.55,6.01,0,1.09,0,0,44.83,2.19,32.25,2.73,1.09,5.47,1.09,1.09,28.43,1.64,0,1.64,0.55,0,0.55,0,0,0.55,0,0,0,0.55,0.55,0,0.55,0,1.64
