stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0,0,0,0.64,0.64,0,0.32,0.96,0,0.64,0.32,42.87,0,0,0,0,0,10.88,0,0,0,0.64,0
22Month,0.55,1.09,18.04,0,1.64,1.64,4.37,1.09,18.59,0,1.64,13.12,3.28,189.14,1.09,0.55,0,2.73,9.84,1.09,1.09,1.64,0.55,0,2.19
