stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,147.11,0,0,0,0,0,0,0,0,0,0,0
72hpf,7.49,1.07,0,2.14,1.07,0,0,0,0,0,0,0,0,0,1.07,5.35,0,4.28,0,1.07,0,43.86,86.65,0,3.21,0,0,9.63,0,0,1.07,0,0,0
21Day,9.37,0,0,6.69,2.68,0,0,0,0,0,0,0,0,1.34,0,4.02,0,14.72,0,0,0,17.4,16.06,2.68,1.34,0,0,5.35,1.34,1.34,1.34,0,0,0
3Month,0,0.32,0,9.6,0,0.32,0.32,0.96,2.24,0.32,7.36,1.92,0.32,1.92,0.32,3.52,1.28,6.4,1.6,0,0.96,0.32,1.92,1.6,0.32,0.64,21.44,0.32,0,0,0,0.32,3.52,0.64
22Month,0,0.55,0.55,2.19,0,0,0,0,2.19,0.55,40.45,1.09,1.09,2.19,0,0.55,1.64,4.92,0.55,0.55,0,1.09,0,0,0.55,0,1.64,0.55,0,0,0,0,0,0.55
