stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0
3Month,0.64,0.32,2.24,0.32,0.32,0.64,1.92,0.32,0.32,0.32,0.32,0.32,0,0.96,4.8,21.12
