stage,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mt_rich_cell,T_cell
21Day,0,1.34,2.68,0,0,0,8.03,0,0,0,0
3Month,0.32,0.32,1.28,0,0.64,0.96,0,0,0.64,0,0.32
22Month,0,0,1.09,0.55,1.64,0,0,0.55,0,0.55,0
