stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,4.09,4.09,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,2.14,0,1.07,0,1.07,0
21Day,0,1.34,0,0,0,0,0,0,0,0,0
22Month,0,0,0.55,6.56,0.55,0,0.55,0,0,0,3.83
