stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,8.17,12.26,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,2.14,1.07,2.14,0,0,0,0,0,0,0,0,0,4.28,0,1.07,0,0,47.07,9.63,0,0,0,3.21,1.07,0,2.14,0,1.07,0,0,0
21Day,4.02,0,0,1.34,0,4.02,0,0,0,0,0,0,2.68,0,0,2.68,1.34,4.02,0,0,10.71,0,0,0,0,4.02,4.02,1.34,0,1.34,1.34,0,0,2.68
3Month,0,0.32,0.32,10.24,0,0,0.32,1.6,2.56,0,7.04,4.16,0.64,5.76,0.96,4.8,3.2,4.8,0.64,0.64,0.64,0,0.64,0.64,0,0.64,0.96,35.19,0,0,0,0.96,142.06,7.36
22Month,0,2.73,0,2.73,0,0,0,0,3.83,1.09,18.04,2.73,0.55,4.37,0,0.55,1.64,3.83,0,0,0,0,0,0.55,1.64,1.09,0,5.47,0.55,0,0,0.55,1.09,3.83
