stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,8.17,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,4.09,40.86,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,14.98,0,0,0,0,0,0,0,0,0,1.07,6.42,0,1.07,0,0,0,0,7.49,11.77,0,0,3.21,1.07,0,0,0,1.07,0,0,0
21Day,2.68,0,1.34,33.46,1.34,8.03,0,1.34,0,1.34,0,0,0,14.72,4.02,6.69,22.76,2.68,13.39,0,0,5.35,0,6.69,2.68,0,0,9.37,1.34,0,0,0,0,0,0,14.72
3Month,0.32,3.2,2.56,69.11,0.32,0,0.64,0.96,11.2,13.44,0,83.51,14.72,2.24,46.39,4.8,20.16,19.84,4.48,0,0.96,7.68,3.2,0.64,0.64,2.88,1.28,0.32,2.88,0.32,9.92,0.64,0,3.84,4.8,33.27
22Month,0,8.75,1.64,23.51,0,0,0.55,2.19,8.75,44.28,2.19,94.57,8.75,8.75,62.87,0.55,2.19,24.05,10.93,0.55,4.37,4.92,0.55,0,0,4.92,0.55,0,0,0,5.47,2.73,0,1.64,0,8.2
