stage,Cardiomyocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,4.09,12.26
72hpf,6.42,1.07,0,0,2.14
21Day,21.42,2.68,1.34,0,2.68
