stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,65.38,0,0,0,0,0,4.09,0,0,0,0,0,0,77.64,167.54,8.17,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0
72hpf,0,0,0,26.74,0,0,0,0,0,5.35,0,0,0,0,0,2.14,140.14,2.14,2.14,0,0,0,0,5.35,4.28,1.07,0,0,1.07,0,0,0,0
21Day,0,2.68,0,77.63,2.68,2.68,0,4.02,0,20.08,0,1.34,1.34,0,0,1.34,29.45,2.68,2.68,0,0,1.34,0,0,2.68,0,0,0,1.34,1.34,0,0,1.34
3Month,0.32,13.44,0,29.76,0,0,0,0,0.64,51.19,0,11.52,1.92,0.32,2.24,0.64,20.16,22.4,1.6,0.32,0,0.64,0.32,0,0,0,0.96,2.24,0,0,0.32,0.96,0.96
22Month,0,5.47,0.55,7.65,0,0,0.55,0,1.09,108.24,2.73,56.31,4.92,0.55,4.92,0.55,6.56,88.56,3.28,0.55,1.09,0,0,0.55,0.55,0.55,0,4.37,0.55,0,0,0,1.64
