stage,Epithelial_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,4.09,0,20.43,0
72hpf,0,0,1.07,0,1.07
21Day,1.34,1.34,0,0,0
