stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,4.02,0,0,0,1.34,0,0
3Month,0,0.32,0.64,0.64,0.32,1.6,0.32,0.96,0,0,0,0.32,1.92,0,0.32,0.32
22Month,0.55,0,1.09,0,0,2.19,2.19,0.55,0.55,0.55,0,0,0.55,0,0,0
