stage,Hepatocyte,Keratinocyte,Macrophage,Primordial_germ_cell,Spermatocyte
24hpf,0,0,4.09,0,0
21Day,0,1.34,0,1.34,0
3Month,0,0,0,0.64,0.32
22Month,0.55,0,0,1.09,0
