stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,8.17,0,8.17,12.26,36.78,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,8.56,0,5.35,19.26,13.91,0,3.21,0,0,1.07,1.07,0,0,0
21Day,1.34,0,6.69,4.02,0,1.34,0,0,0,0,0,0,0,4.02,2.68,5.35,2.68,4.02,0,2.68,0,0,0,0,0,0,0
3Month,0,0,4.16,0,0.32,0,0,0.96,1.92,0.32,0.32,1.92,0.64,2.56,1.28,1.28,0,0,0,0,0.32,0.96,0,0,0.32,1.92,0.64
22Month,0,0.55,0,0,0,0,0.55,1.64,11.48,0.55,0,1.64,0,0,0.55,1.09,0,0,0.55,0,0,0.55,0,0,0,0,0.55
