stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,8.17,0,0,0,32.69,130.76,0,0,4.09,0,0,0,0,0,0,0
72hpf,4.28,1.07,0,1.07,3.21,0,0,0,0,0,0,8.56,0,3.21,0,0,0,330.57,28.88,0,0,5.35,0,0,7.49,1.07,0,0,0
21Day,0,0,0,5.35,2.68,0,1.34,0,0,0,1.34,1.34,0,8.03,0,1.34,0,124.48,17.4,0,0,13.39,10.71,0,1.34,0,0,0,0
3Month,0,0,0,0.96,0,0,0,0,0.32,1.28,0.32,0,0.32,7.04,2.24,0.32,0.64,0.96,0,1.92,0,0,0,5.12,0,0,0.32,0.32,0.32
22Month,0,1.64,0.55,2.73,0,0.55,0,1.09,0,7.11,0.55,0.55,1.09,6.56,0,1.09,0,0.55,0,0.55,1.09,0,0,0.55,0,0,0,0,0.55
