stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,192.06,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,20.43,73.56,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,1.07,0,5.35,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,10.7,0,0,0,0,69.54,13.91,0,0,0,2.14,0,0,1.07,0,0,0
21Day,0,0,8.03,0,1.34,0,0,0,0,0,0,0,0,2.68,0,0,6.69,0,22.76,0,0,2.68,0,156.61,2.68,0,0,0,0,0,0,1.34,0,0,2.68
3Month,0.32,3.84,11.84,0.32,0,0.32,0,0,2.24,6.4,0,13.12,4.48,0,5.76,0.32,2.24,9.6,4.8,0.64,0,0.32,1.28,4.16,0.32,0.96,0.64,0,1.28,3.2,6.4,0.64,586.79,206.37,2.24
22Month,0,1.09,2.73,0.55,0,0,1.64,1.09,0.55,2.73,0.55,22.41,0.55,2.19,1.09,0,0,7.65,3.83,0,0.55,0,0,0,0,0.55,0,0.55,0,0.55,6.01,0,203.9,0.55,0.55
