stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,8.17,0,20.43,4.09,0,0,0,0,0,0,0,0,0,24.52,167.54,0,0,0,0,40.86,277.88,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,87.72,19.26,0,33.16,16.05,40.65,0,4.28,0,0,0,0,28.88,97.35,7.49,169.03,0,3.21,4.28,0,8569.03,243.91,11.77,53.49,0,71.68,3.21,0,38.51,9.63,11.77,2.14,0,0,0
21Day,16.06,1.34,13.39,48.19,4.02,65.59,5.35,0,6.69,2.68,25.43,4.02,16.06,29.45,9.37,56.22,0,0,1.34,1.34,2386.6,60.23,6.69,38.82,0,30.79,45.51,1.34,13.39,4.02,24.09,2.68,0,0,12.05
3Month,0,0,0.32,3.84,0,0,0,0.32,3.84,0.96,0.32,1.28,0.32,26.88,0.96,2.24,0,0,0,0,10.56,0.96,1.28,0.96,0,0,0,4.16,0,0,0,0,0.32,11.52,0.96
22Month,0,1.64,0,1.09,0,0,0,0.55,13.12,1.64,0.55,0.55,0,0,0.55,1.09,0.55,0,0,0,4.37,1.09,0.55,1.09,0.55,0,0,14.76,0.55,0,0,0,0,0,0
