stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,106.25,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,3.21,1.07,0,3.21,4.28,6.42,0,0,0,0,0,0,0,0,2.14,0,3.21,0,0,1.07,0,653.64,49.21,0,1.07,0,5.35,0,1.07,10.7,21.4,20.33,0,0,0,0
21Day,2.68,0,0,5.35,4.02,0,0,0,0,1.34,1.34,2.68,1.34,0,1.34,1.34,8.03,0,0,0,0,105.74,6.69,0,2.68,0,2.68,1.34,0,1.34,1.34,6.69,5.35,0,0,12.05
3Month,0,0.32,0.64,9.6,0,0,2.24,1.28,0.64,8,3.2,0,1.6,1.28,1.92,1.92,4.48,1.28,0,0.64,0.96,2.24,0.32,12.8,7.36,0,0,0.96,46.71,1.6,0.64,0,4.16,0.64,305.87,6.72
22Month,0.55,0,1.64,0.55,1.09,0,0,1.09,0.55,89.1,0.55,0,2.19,0,0,1.09,1.64,0,2.19,0,0,2.19,0,6.01,7.65,0.55,0,0.55,84.18,5.47,0.55,0,0.55,0,1.64,2.19
