stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,12.26,0,0,0,0,0,0,0,4.09,4.09,0,20.43,0,0,0,4.09,16.35,0,0,4.09,0,0,0,4.09,0,0,0
72hpf,1.07,1.07,0,3.21,0,0,0,0,0,0,0,2.14,5.35,0,7.49,0,1.07,0,21.4,4.28,0,0,7.49,0,0,2.14,1.07,0,0,0
21Day,1.34,0,0,10.71,1.34,1.34,1.34,0,0,2.68,0,2.68,4.02,0,4.02,0,0,0,6.69,10.71,0,0,2.68,1.34,1.34,0,8.03,0,0,0
3Month,0,0,0,3.2,0,1.28,0.32,3.52,0.96,0,2.56,0.32,0.64,0.32,0.96,0,0.64,0.32,0.32,0,0.64,0,0,0,41.27,0.32,0,0.32,28.48,0.32
22Month,0,0.55,0.55,2.19,0,0,1.09,60.13,0,0,5.47,0.55,0,1.64,0,3.28,0,0,0,0,0,0.55,0,0,4.37,0.55,0.55,0,0,0
