stage,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,1.07,0,0,0,0
21Day,1.34,0,0,1.34,2.68,0,0
3Month,0,0.96,0,0,0,0.64,1.28
