stage,Epithelial_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,3.21,1.07,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,1.34,0,0,12.05,30.79,0,0
3Month,0.32,0,1.28,0,0.32,0,0,0.32,0.32,0,0,1.6,0.32
22Month,0.55,0.55,4.37,0,0,0,0,0,0,0,0,0,0
