stage,Cardiomyocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Retinal_cell
24hpf,0,0,4.09,0,0,0
72hpf,1.07,1.07,0,1.07,1.07,1.07
21Day,0,0,0,0,1.34,0
