stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0.96,0,143.34,0.32,0,0.96,0,10.56,3.52,0.64,3.52,7.36,0.32,0.64,2.88,0.96,0.64,0.64,2.56,4.48,0,0.32,0,0.96,0.32,3.52,0.64,0.64,0.96,1.6
22Month,0.55,0.55,45.37,0,1.64,0.55,0.55,29.52,0,0,1.64,1.64,0,1.64,2.19,0,0,0,1.64,0,0,0.55,1.09,0,0,2.73,0,0,0,0
