stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neurosecretory_cell,T_cell
72hpf,1.07,0,0,0,1.07,0,0,0,0
21Day,1.34,0,0,0,1.34,0,2.68,0,0
3Month,0.96,0.32,1.28,0.96,0,0.32,0,0.32,0.64
22Month,0,0,2.73,0,0.55,0.55,0.55,0,0.55
