stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,4.09,0,220.67,0,0,0,0,12.26,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,1.07,0,0,0,0,0,0,0,7.49,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,1.34,1.34,12.05,0,0,0,2.68,0,0,1.34,8.03,6.69,0,0,1.34,1.34,0,0,1.34,0,0,0,25.43
3Month,0,0.32,0,2.24,0,0,45.11,0,3.2,1.6,0.96,1.6,0.64,1.28,12.48,15.04,0,0,0.64,0,0,0,0,1.6,0,0.96,8.96
22Month,0,0,0.55,1.64,0,0,115.89,1.09,17.49,2.73,1.64,2.19,0,0.55,12.03,41,0.55,0.55,0.55,0,0.55,1.09,0,0,0.55,0,3.83
