stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,8.17,0,0,49.04,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,1.07,0,1.07,1.07,0,12.84,6.42,3.21,2.14,0,0,1.07,0,0
21Day,2.68,1.34,1.34,1.34,6.69,1.34,1.34,0,0,1.34,5.35,0,5.35,5.35,1.34,0,2.68,2.68,0,0,1.34
3Month,0,0,0.32,0,0,0,0,0,0,0.32,0,0.32,0,0,0,0,0,0,0,0,0
22Month,0,0,0.55,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0.55,0
