stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,17.12,0,6.42,0,0,0,0,1.07,0,0,0,0,3.21,312.38,4.28,0,9.63,0,2.14,0,0,17.12,17.12,1.07,0,0,6.42,1.07,0,1.07,0,2.14,0,0,0
21Day,0,2.68,0,9.37,0,0,1.34,1.34,0,0,0,0,0,81.65,2.68,2.68,1.34,4.02,0,0,0,0,4.02,1.34,0,0,0,1.34,1.34,0,0,1.34,1.34,0,0,0
3Month,0.32,79.35,3.84,99.5,0.32,1.6,0,131.82,22.08,0,41.91,13.44,0.64,1289.4,2.88,32.63,9.92,11.2,3.2,1.28,4.48,490.48,1.6,0.96,7.04,2.56,0,0.96,12.48,143.66,1.28,0,0.96,1.6,86.71,6.4
22Month,0,83.09,2.73,42.09,0,1.09,0.55,143.77,17.49,6.56,75.98,6.01,0.55,1269.88,2.19,6.56,6.01,8.75,0,2.19,3.28,23.51,0.55,0.55,9.29,2.73,0.55,0.55,1.64,61.23,1.64,0,0,0,1.64,4.37
