stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,2.68,0,0,0,2.68,0,0,0,1.34,0,2.68,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,17.4
3Month,0.32,2.56,0.32,8.64,0,0.64,0.96,4.48,9.28,4.48,0.32,2.24,0.96,2.88,2.88,4.16,0.32,0.96,0.32,0.32,0.64,1.28,0.32,1.28,25.92,0,0.96,35.51,222.36
22Month,0,1.09,0,1.09,0,0.55,0.55,4.92,16.95,0.55,1.09,2.73,0,0.55,1.64,0.55,2.73,0,0,0,0,0.55,1.64,0.55,13.12,0,0,0.55,34.44
