stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Pancreatic_macrophage
24hpf,0,0,0,0,12.26,0,0
72hpf,0,0,0,0,5.35,1.07,0
21Day,0,1.34,0,0,0,1.34,0
3Month,0.32,0,0,1.28,0,0,0.32
22Month,0,0,1.09,0,0,0,0
