stage,Cardiomyocyte,Ionocyte,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0
72hpf,1.07,0,42.79,4.28,0,0,0,0
21Day,2.68,0,16.06,2.68,0,1.34,1.34,1.34
3Month,0,0.96,0,0,0.32,0,0,0
