stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,12.26,12.26,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,1.07,2.14,0,0,0,0,0,0,3.21,0,24.61,0,2.14,63.12,8.56,0,0,17.12,0,0,0,0,0,0
21Day,0,0,1.34,1.34,1.34,0,0,0,0,0,0,0,24.09,0,0,26.77,14.72,0,0,1.34,1.34,0,0,1.34,0,0
3Month,0,0.96,1.92,0.32,0,0.64,2.24,0.64,0.32,0.64,0,4.48,10.88,15.04,0,0,0,0.32,0.32,8,0.32,0.32,0.32,0,7.36,0.96
22Month,0,0,1.64,0.55,0,0,1.09,0,0,0,1.09,4.37,3.83,0.55,0,0.55,0,0,0,6.01,0,1.09,0,0,0,0
