stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,49.04,4.09,0,44.95,0,0,0,0,0,16.35,0,0,0,4.09,4.09,0,49.04,0,0,36.78,4.09,8.17,0,0,0,0,0,4.09,0,0,0
72hpf,29.95,3.21,0,7.49,7.49,3.21,0,0,0,0,0,0,0,8.56,25.67,1.07,27.81,0,18.19,9.63,0,17.12,0,0,1.07,0,0,0,0,0,0
21Day,144.56,0,0,26.77,2.68,2.68,0,0,0,0,0,0,1.34,2.68,21.42,1.34,25.43,1.34,2.68,6.69,0,9.37,0,0,4.02,1.34,2.68,0,0,0,1.34
3Month,0.64,0.32,0.32,13.44,0,0,0,0.32,1.28,0,1.6,0,0.64,3.52,3.52,7.36,0.96,1.6,0.64,1.28,0,0,0.32,0.64,0.64,0,0,0,0.96,0.32,1.28
22Month,0,1.09,0,4.37,0,0,0.55,0,4.92,0,2.73,0.55,0,2.19,2.73,2.73,1.09,2.19,0.55,0,0.55,0,0,0.55,0.55,0.55,0,0,0,0,0
