stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Macrophage,Osteoblast,Pancreatic_cell
72hpf,0,1.07,0,0,1.07,0
3Month,0,0,0.32,0.32,0,0.32
22Month,0.55,0,2.19,0,0,0
