stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,1.07,0,0,0
3Month,0.32,0.96,2.24,0.32,0.32,0.32,0,0.32,12.8,24.64
