stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
72hpf,0,1.07,0,2.14,3.21,5.35,0,0,0,0,0,0,0,0,1.07,7.49,2.14,9.63,0,0,0,0,388.33,20.33,0,0,9.63,0,3.21,0,0
21Day,0,0,0,14.72,0,1.34,1.34,0,0,0,2.68,0,4.02,1.34,0,1.34,2.68,14.72,0,0,5.35,0,112.44,0,0,0,2.68,1.34,0,0,0
3Month,0.32,5.44,0.32,12.16,0,0,0,0.96,0.64,0,4.16,0.64,0,2.24,0.64,4.48,2.56,11.2,5.12,0,14.4,0.96,8,0,0,0.64,1.28,7.68,0,11.84,0.32
22Month,0.55,9.29,0.55,3.83,0,0,0,0.55,1.09,4.37,18.04,0,0,0.55,0,0.55,3.28,2.19,0,0.55,12.57,0,2.73,0,0.55,0,0.55,15.31,0,0,0
