stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,7.49,1.07,0,0,0,0,0,0,0
21Day,0,0,0,0,0,8.03,1.34,0,0,0,0,0,5.35,0,1.34,0,0,2.68,4.02,0,0
3Month,0.32,0,0.64,0,0,56.95,0.96,0.64,0,0.64,0.32,0,0,0,0.64,0.32,0,0,0,0.64,0.96
22Month,0,1.09,0.55,1.09,1.09,111.52,1.64,0.55,0.55,1.64,0,2.19,0,0,0,0.55,1.09,0,0,0,0
