stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,8.17,4.09,4.09,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,12.05,0,0,0,0,0,0,0,0,2.68,0,2.68,0,0,0,2.68,0,0,0,0,4.02,0,8.03,0,0,0
3Month,0.64,0.96,0.64,10.56,0.32,0.32,9.92,11.52,4.16,0.32,6.4,1.92,5.76,5.76,0.96,0.64,0.64,0.64,0.32,0,1.28,0.32,0,0,2.24,141.1,2.56,111.02,2.56
22Month,0,1.09,0,3.28,0.55,0.55,5.47,27.88,0.55,0.55,4.92,0.55,0,1.64,2.73,0,0,0,0.55,0,0,0,18.04,0,0.55,31.16,0.55,0.55,0
