stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,110.33,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,7.49,5.35,1.07,0,0,0,0,0,0,0,0,0,0,1.07,13.91,0,3.21,0,0,0,1.07,19.26,7.49,0,0,11.77,0,0,14.98,0,0,0,0,0
21Day,0,0,2.68,10.71,5.35,5.35,0,0,0,0,0,0,0,0,1.34,0,0,2.68,0,10.71,0,0,0,0,5.35,6.69,0,0,6.69,2.68,0,5.35,0,0,0,0,0
3Month,0,0.32,0,53.75,4.16,0,0.32,0.32,0.64,1.6,1.92,0,17.28,2.24,0.32,4.16,17.6,2.88,2.88,6.72,3.52,0,0.64,3.2,7.36,0.64,0.64,0.32,0.32,2.24,20.16,1.6,0.64,1.92,0.64,772.36,2.56
22Month,0,0.55,0.55,41.55,1.09,0,0,0.55,0,1.09,1.09,1.09,13.12,0,0,2.73,4.92,0.55,1.09,3.28,0,1.64,0,0.55,0.55,0,1.09,0,0,0,30.61,0,0,0,0,4.92,1.64
