stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,24.52,8.17,318.74,0,118.51,8.17,0,0,0,4.09,0,0,555.75,32.69,0,0,8.17,102.16,0,12.26,0,0,0,0,0,4.09,0,0
72hpf,1.07,2.14,0,158.33,0,70.61,0,0,0,0,11.77,0,1.07,3.21,1.07,0,0,12.84,8.56,0,1.07,1.07,0,0,0,1.07,0,0,0
21Day,1.34,1.34,5.35,301.17,0,475.18,0,0,2.68,0,21.42,0,2.68,4.02,16.06,0,1.34,8.03,6.69,1.34,0,10.71,0,1.34,0,1.34,0,0,0
3Month,0,0.32,0.96,0,9.6,35.19,7.04,0,0.64,0.96,10.88,1.28,0.32,0.64,0.32,0,0,0,0,0,0,0.32,1.6,0,0,0,0,0.32,0.64
22Month,0.55,3.83,0.55,0,3.28,63.96,75.44,1.09,14.21,12.57,80.36,1.09,0.55,25.69,0.55,0.55,0,0,0,0,0.55,0,0,0,1.09,0,0,0,1.09
