stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,0,0,0,0,0,0,0,0,0,28.88,0,6.42,0,3.21,3.21,0,6.42,0,0,0,0,0
21Day,8.03,0,1.34,0,0,0,0,0,0,0,1.34,0,13.39,0,21.42,0,0,2.68,0,2.68,0,0,0,0,0
3Month,0.32,1.6,1.6,0.32,2.24,0,2.88,0.32,1.92,0.32,0.96,0.64,25.6,8.96,21.44,0.32,0.32,0.32,0.96,2.88,0.64,1.28,0.64,59.19,0.96
22Month,0,0,0,0,0,0.55,0,0,0,0,0,0,0.55,0,2.19,0,0,0,0,0,0,0,0,1.64,0
