stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte
72hpf,1.07,1.07,0,0,1.07,20.33,1.07,1.07,0,2.14,0,2.14,4.28,2.14,0
21Day,0,0,0,1.34,2.68,12.05,0,2.68,1.34,0,1.34,0,5.35,6.69,0
3Month,0,0.32,0.32,0,0,0,0,0,0,0,2.56,0,0.32,0,2.24
