stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.05,0,0,0,0,0,0
21Day,1.34,2.68,1.34,0,0,0,0,0,0,1.34,0,1.34,0,0,0,12.05,1.34,2.68,0,2.68,2.68,0
3Month,3.2,0.32,0,0.32,0.32,0.32,0,1.28,0.96,0,1.28,0,0,0,0.32,0,0,0,0.96,0,0,2.88
22Month,0.55,0.55,0,0,0,0.55,1.09,4.92,0.55,0,1.09,0,1.64,2.73,0.55,0,0,0,0,0,0,1.09
