stage,Cardiomyocyte,Epithelial_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,20.43,4.09,4.09,0
72hpf,1.07,1.07,1.07,1.07,1.07,2.14,0,0
21Day,0,0,0,5.35,0,0,0,1.34
