stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,1.34,0,0,0,0,0,0,0,0,60.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0,0,0.64,5.76,0.32,2.24,15.04,0,13.12,549.67,0.32,4.16,0.32,0.32,8.64,2.56,1.28,0,0.96,1.6,0,0,0.32,0.64,2.88,1.28,0.32,4.16,1.6,0.64
22Month,0,0.55,0,1.09,0,0,3.28,1.09,9.84,244.35,0,1.09,0,0,24.05,0,0.55,0.55,0.55,0,0.55,0.55,0,0,0,0,0.55,0,0,0.55
