stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,5.35,0,0,0,0,0,37.44,0,1.07,0,3.21,1.07,0,0,0
21Day,1.34,0,0,0,0,1.34,8.03,1.34,0,0,1.34,0,0,0,0
3Month,23.04,0,1.6,0.32,1.28,1.6,0.64,0,0,0.64,0,0,0.64,0.64,0.32
22Month,0.55,0.55,3.83,0,0,0,0,1.64,0,0,0,0,1.64,0,0
