stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,28.6,200.23,0,4.09,0,0,0,0,0,4.09,0,0,0
72hpf,14.98,0,4.28,0,7.49,0,0,0,0,0,0,0,0,0,3.21,3.21,2.14,12.84,0,423.64,598.01,1.07,19.26,0,0,12.84,14.98,12.84,0,0,0,0
21Day,5.35,1.34,5.35,1.34,6.69,0,0,0,0,0,0,2.68,0,2.68,0,1.34,2.68,14.72,0,179.36,104.41,0,2.68,8.03,0,4.02,8.03,36.14,0,0,0,0
3Month,0,0,1.6,0,0,0.32,0.32,0.32,1.6,0,1.28,0,0.32,1.92,0,1.6,1.6,9.92,8.32,5.12,0.64,0.32,0,0,3.84,7.04,0,0,1.6,0,1.6,0.64
22Month,0,1.09,2.19,0,0,0,0,0.55,0.55,0.55,10.93,0.55,0,1.09,0,0.55,1.09,6.56,0,2.19,0,0,0,0,7.11,21.87,1.64,0,0,0.55,0,0
