stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,4.09,24.52,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,23.54,0,0,0,0,0,2.14,0,0,0,1.07,0,0
21Day,0,18.74,0,0,0,0,0,1.34,0,16.06,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,15.68,0,0,0,0.32,0.32,0,2.24,0,0,0.32,0,0,14.4,0.64,0,0,0.32,0,0,0
22Month,1.09,6.56,0.55,3.28,2.19,13.12,1.09,0.55,1.09,0.55,1.09,2.73,0.55,0.55,0,0.55,0,212.65,0,0.55,0.55,0.55
