stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,0,8.17,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,155.28,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,4.28,7.49,0,0,0,0,6.42,0,0,0,0
21Day,1.34,2.68,10.71,4.02,5.35,0,0,0,0,0,1.34,2.68,0,4.02,4.02,12.05,0,1.34,0,119.13,1.34,2.68,4.02,4.02,2.68,1.34,9.37,14.72,1.34,0
3Month,0.32,0.32,3.84,0,0,0.32,0.32,0,6.4,1.6,0,0.64,0.32,0.96,0.32,0.64,0,0,0.32,1.28,0.32,0,0,0,0.64,0.32,0,0,0,0.64
22Month,0,1.64,0.55,0,0,0,2.19,1.09,32.8,3.28,0,1.64,0.55,0,2.73,4.37,1.09,0,0,1.64,0,0.55,0,0,2.19,0,0,0,0,0
