stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,3.21,0,0,1.07,0,0,0,1.07,0,0,0
21Day,0,2.68,0,0,0,0,0,0,0,1.34,0,0,4.02,0,2.68,0,0,0,13.39,4.02,0,0,1.34,0,0,0,9.37,0,0,0
3Month,0,15.04,0,6.72,0.32,0.32,2.24,14.4,1.92,0,2.56,0.32,2.24,0,1.28,0.32,0,0.32,173.73,0,0,0,0,2.56,2.56,0,0.32,0.64,1.28,0.64
22Month,0,12.03,0.55,0.55,0,0,2.19,31.16,1.09,0,1.09,0,0,0.55,0.55,0,0.55,0,11.48,0,0,0.55,0,0,0,0.55,0,0,0,0.55
