stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,35.3,8.56,0,51.35,51.35,98.42,2.14,0,1.07,3.21,0,0,1.07,57.77,88.79,8.56,1159.65,3.21,0,2.14,477.13,205.4,2.14,2.14,78.09,2.14,51.35,6.42,1.07,1.07,0,1.07
21Day,57.56,12.05,6.69,176.69,8.03,156.61,22.76,1.34,5.35,52.2,2.68,48.19,13.39,22.76,96.37,22.76,574.23,2.68,28.11,2.68,218.18,105.74,5.35,2.68,64.25,73.62,24.09,4.02,37.48,2.68,1.34,41.49
