stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,2.14,1.07,0,1.07,0,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,0,0,0,0,10.71,0,4.02,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0.64,1.28,92.47,0.32,0.32,135.66,1.6,0.32,15.36,4.8,0.96,223,2.56,7.04,32.95,4.16,0.96,4.8,0.32,0.64,0.32,2.24,0.32,1.6,13.76,0.64,1.6,10.24
22Month,0,4.92,14.21,0,0.55,27.88,1.64,1.09,13.67,0,1.09,121.36,0,3.83,4.92,3.83,0,0.55,0,0,0,0.55,0,0,47.01,0,0,1.64
