stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,12.26,0,0,0,0,0,0,0,8.17,12.26,4.09,20.43,4.09,53.12,0,0,0,0,0,0
72hpf,1.07,0,1.07,3.21,0,0,0,0,0,0,1.07,10.7,0,1.07,10.7,10.7,2.14,0,0,1.07,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,2.68,1.34,0,0,0,0,0
3Month,0,0,2.56,0,0.32,0.96,0,0.64,0,1.6,0,0.64,0,1.28,0,0.32,0,0.32,2.88,0.32,0.32,0.96
22Month,0,0.55,1.09,0,0,0.55,0.55,8.75,0.55,0,0,0,0.55,0.55,0,0,0,0,0,0.55,0,0
