stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,0,0,0,2.14,0,1.07,0,60.98,0,2.14,1.07,0,3.21,0,0
21Day,0,1.34,4.02,0,0,0,0,4.02,6.69,62.91,1.34,0,0,1.34,4.02,1.34,1.34
22Month,0,0,0,1.09,0.55,0,0.55,0,0,0,0,0,0,0,0,0,0
