stage,Epithelial_cell,Hepatocyte,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
21Day,1.34,0,0,0,0,0
3Month,0,0.64,1.92,0.64,1.92,0.96
22Month,0,1.64,0,0,0,0
