stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,0,23.54,0,0,0,0,0,0
21Day,1.34,1.34,1.34,0,0,0,0,0,1.34,1.34,1.34,0,0,22.76,1.34,0,0,1.34,0,0
3Month,0,1.28,0,0.32,0,0.96,0,0,0,0.32,0,0,0,0,0,0,0.32,0.32,0,0.32
22Month,0,0,0,0.55,0.55,8.75,1.64,0.55,0.55,1.09,0.55,1.09,0.55,0,0,0.55,0.55,0,0.55,0
