stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,4.09,0,0,0,24.52,106.25,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,3.21,2.14,2.14,0,0,0,0,0,0,0,0,1.07,11.77,2.14,5.35,0,0,0,58.84,29.95,1.07,0,5.35,0,0,0,2.14,0,1.07,0,0,0
21Day,5.35,0,4.02,0,4.02,2.68,0,0,0,0,0,0,0,2.68,4.02,1.34,6.69,0,0,1.34,25.43,25.43,0,1.34,4.02,2.68,0,0,0,1.34,1.34,0,0,1.34
3Month,0.32,0.64,6.72,0.32,0,0.64,0,0,0,4.16,0.64,0.32,1.28,0.64,4.16,0.96,3.2,0.64,0,0.32,2.56,0.32,0.64,0.96,0.32,0,2.88,0.96,0,0,0,0.64,1.92,0.32
22Month,0,0,6.01,0,0,0,0.55,1.64,4.37,14.21,1.09,0,3.83,0,1.09,1.09,4.37,0,1.09,0,0,0.55,0,0.55,0,0,0.55,1.64,0,0,0,0,0,0
