stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,12.26,0,0,4.09,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,3.21,5.35,0,1.07,0,2.14,0,0,0,0,0,0,18.19,0,2.14,0,0,0,28.88,1.07,1.07,2.14,0,4.28,1.07,1.07
21Day,1.34,1.34,0,6.69,0,0,1.34,0,0,0,1.34,0,8.03,0,0,0,0,0,4.02,0,1.34,1.34,0,1.34,0,0
3Month,0.32,2.88,0,1.92,0,0,0.32,0.32,0.96,0.32,0.32,0.32,0.64,0,0.96,0.64,0.32,0.32,0.32,0,0,0,1.28,0,0,0
22Month,0,4.92,0.55,0.55,0,0,0,0,2.73,0.55,0.55,0.55,0,0.55,0.55,0,0,0,0,0,0,0,0.55,0.55,0,0
