stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,1.07,1.07,0,1.07,1.07,3.21,0,0,2.14,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,1.34,5.35,0,0,0,0,0,0,0,1.34,0,1.34,0
3Month,0.32,0.32,0,0,0.64,0.32,0.64,2.24,0.64,0,9.92,3.2,1.28,0,0.32,0.32,0.64,1.92,0.32,0,1.92,0,0.32
22Month,0,0,0,0.55,0,0,0.55,3.83,0,0,1.64,1.64,0,0.55,0,0,0,0,0,0,0,0,0
