stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,1.07,5.35,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,10.71,0,0,0,0,0,0,0,0,4.02,0,4.02,0,4.02,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34
3Month,2.56,14.08,0.96,0.32,3.84,1.6,0,3.2,1.92,0.64,40.31,2.24,2.24,1.28,0.96,0.64,0.32,0.96,1.28,0,0.96,0.32,1.6,3.84,0,0.64,2.56,5.76
22Month,0.55,7.11,1.09,0,1.64,2.73,0.55,25.15,1.64,2.19,49.2,1.09,0.55,5.47,4.92,0,3.28,0.55,0,0.55,0,0,0,3.28,0.55,0,0,0.55
