stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,19.26,0,1.07,0,0
21Day,0,0,0,0,0,0,0,0,0,0,10.71,1.34,0,0,1.34
3Month,0.32,0.64,0,1.6,0.32,0,0.32,0.32,0.32,0,0,0,0,0.32,0
22Month,0,2.19,0.55,8.75,1.64,0.55,1.64,0.55,1.64,0.55,0,0,0,0.55,0
