stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,4.09,0,0,4.09,4.09,8.17,0,93.99,4.09,0,0,0
72hpf,0,1.07,0,0,0,0,5.35,1.07,4.28,3.21,1.07,1.07,0
21Day,1.34,6.69,10.71,5.35,0,0,2.68,5.35,5.35,1.34,0,0,0
3Month,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32
