stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,2.14,0,0,0,0,0,0,0,0,3.21,0,2.14,0,0,143.35,4.28,0,0,2.14,0,0,1.07,1.07,1.07,0,0,0
21Day,1.34,2.68,5.35,1.34,0,0,0,2.68,0,1.34,1.34,2.68,0,2.68,0,0,57.56,2.68,0,2.68,2.68,0,0,0,0,1.34,1.34,0,2.68
3Month,0,0.96,0,0,0.32,0.64,0,0.96,0.32,0,1.6,0,0.32,1.6,0,0.64,2.56,0,0.32,0.32,0,0.64,13.44,0.32,0,0,0,8.32,0
22Month,0,0.55,0,0,0,0,1.64,16.95,0,0,0.55,0.55,0,1.09,0.55,0,2.19,0,0.55,0,0,0,3.28,0,0,0,0,0,0.55
