stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,12.26,0,0,0,0,0,0,0,0,0,0,4.09,0,20.43,8.17,0,0,0,0,16.35,69.47,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,0,34.23,2.14,0,2.14,0,1.07,0,0,0,1.07,0,4.28,35.3,0,9.63,0,0,0,0,29.95,21.4,1.07,0,7.49,0,0,0,3.21,0,0,0,0
21Day,4.02,1.34,0,9.37,0,0,0,0,1.34,1.34,1.34,0,2.68,1.34,2.68,4.02,1.34,6.69,0,0,1.34,0,5.35,0,0,0,1.34,0,0,0,0,0,0,0,0
3Month,2.24,2.56,1.92,71.99,0.32,1.28,1.28,6.72,31.36,0,216.29,69.43,4.8,11.84,4.48,24.64,23.04,14.72,3.2,0,3.84,4.48,1.92,0.64,4.8,1.6,1.28,3.84,0.32,7.68,0.32,0,2.88,3.52,29.12
22Month,0.55,2.19,1.09,14.76,0.55,0,0.55,1.64,22.96,15.85,181.49,6.01,0.55,21.32,0,1.09,12.03,4.37,0.55,7.11,0.55,0,1.64,0,2.73,0,0.55,1.09,0,1.09,1.09,3.28,0,0,3.28
